participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,check_practice.thisRepN,check_practice.thisTrialN,check_practice.thisN,check_practice.thisIndex,check_practice.ran,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,1.9447,1,0,3,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,left,1,2.3802,1,1,4,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,right,0,2.0597,1,2,5,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,4.0317,2,0,6,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,up,1,1.5343,2,1,7,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,right,0,2.7965,2,2,8,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,left,1,2.5464,3,0,9,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,up,1,1.8435,3,1,10,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,2.2593,3,2,11,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,,,,,,,,,,,,,,,,p,,,,,,,,,space,3,1,7,1,1,29.4707
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,up,1,1.917,0,0,0,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,right,0,1.5044,0,1,1,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,right,1,2.7189,0,2,2,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,up,,,,,,,,,neither,,,,,,p,up,1,1.6795,1,0,3,2,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,left,1,1.2673,1,1,4,0,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,1.3403,1,2,5,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,right,,,,,,,,,spatial,,,,,,p,left,0,1.1139,2,0,6,1,1,,,,,,,
XC,2023-06-16_14h02.39.606,supdoc_online,2022.2.5,Win32,59.5521677,left,,,,,,,,,feature,,,,,,p,right,0,0.8931,2,1,7,0,1,,,,,,,
