participant,date,expName,psychopyVersion,OS,frameRate,correctKey,prac_resp.keys,prac_resp.corr,prac_resp.rt,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,practiceTrials.ran,condition,display,test_resp.keys,test_resp.corr,test_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,key_resp.keys,display_loop.thisRepN,display_loop.thisTrialN,display_loop.thisN,display_loop.thisIndex,display_loop.ran,key_resp.rt
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.848,0,0,0,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,right,0,1.666,0,1,1,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,1.298,0,2,2,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,left,0,0.738,1,0,3,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.163,1,1,4,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,right,0,1.012,1,2,5,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.152,2,0,6,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,0.999,2,1,7,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.862,2,2,8,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,up,,,,,,,,,neither,m,right,0,1.029,3,0,9,2,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,right,,,,,,,,,spatial,m,right,1,0.931,3,1,10,1,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,left,,,,,,,,,feature,m,up,0,1.445,3,2,11,0,1,,,,,,,
FO,2023-05-04_15h39.46.756,supdoc_online,2022.2.5,MacIntel,62.5,,,,,,,,,,,m,,,,,,,,,,5,0,10,0,1,
