"X.Scale","Y.Scale","same_target","same_probe","xPosition","FW_resp.keys","FW_resp.corr","FW_resp.rt","face_loop_set1.thisRepN","face_loop_set1.thisTrialN","face_loop_set1.thisN","face_loop_set1.thisIndex","face_loop_set1.ran","targetID","imFile","imFile2","corr","trial_type","position","screen","x_scale","y_scale","date","expName","psychopyVersion","OS","frameRate","xResolution","yResolution","diff_target","diff_probe","face_loop_set2.thisRepN","face_loop_set2.thisTrialN","face_loop_set2.thisN","face_loop_set2.thisIndex","face_loop_set2.ran","face_loop_set3.thisRepN","face_loop_set3.thisTrialN","face_loop_set3.thisN","face_loop_set3.thisIndex","face_loop_set3.ran"
NA,NA,"Stimuli/Faces/CM0015_1100.jpg","Stimuli/Faces/CM0015_1100.jpg",0,"s",1,0.4344,NA,NA,NA,NA,NA,52,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,19,19,16,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0033_1100.jpg","Stimuli/Faces/CF0033_1100.jpg",0,"s",1,0.437,NA,NA,NA,NA,NA,54,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,20,20,18,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3324,NA,NA,NA,NA,NA,38,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0046_1100.jpg","Stimuli/Faces/CF0033_1100.jpg",0,21,21,2,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0029_1100.jpg","Stimuli/Faces/CM0029_1100.jpg",0,"s",1,0.2842,NA,NA,NA,NA,NA,53,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,22,22,17,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3144,NA,NA,NA,NA,NA,40,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0021_1100.jpg","Stimuli/Faces/CM0029_1100.jpg",0,23,23,4,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3244,NA,NA,NA,NA,NA,41,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0031_1100.jpg","Stimuli/Faces/CF0026_1110.jpg",0,24,24,5,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3321,NA,NA,NA,NA,NA,50,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0029_2200.jpg","Stimuli/Faces/CF0046_1100.jpg",0,25,25,14,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0026_1110.jpg","Stimuli/Faces/CF0026_1110.jpg",0,"s",1,0.2523,NA,NA,NA,NA,NA,55,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,26,26,19,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0046_1100.jpg","Stimuli/Faces/CF0046_1100.jpg",0,"s",1,0.2719,NA,NA,NA,NA,NA,63,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,27,27,27,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.307,NA,NA,NA,NA,NA,39,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CF0055_1100.jpg","Stimuli/Faces/CM0047_1100.jpg",0,28,28,3,1,NA,NA,NA,NA,NA
NA,NA,"","",0,"d",1,0.3325,NA,NA,NA,NA,NA,46,"rand_face","rand_face","d","d",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"Stimuli/Faces/CM0031_1100.jpg","Stimuli/Faces/CF0057_1100.jpg",0,29,29,10,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CM0047_1100.jpg","Stimuli/Faces/CM0047_1100.jpg",0,"s",1,0.3004,NA,NA,NA,NA,NA,58,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,30,30,22,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0057_1100.jpg","Stimuli/Faces/CF0057_1100.jpg",0,"s",1,0.2827,NA,NA,NA,NA,NA,66,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",0,31,31,30,1,NA,NA,NA,NA,NA
NA,NA,"Stimuli/Faces/CF0031_1100.jpg","Stimuli/Faces/CF0031_1100.jpg",0,"s",1,0.2044,NA,NA,NA,NA,NA,90,"same_face","same_face","s","s",2,0,0.0555,0.0552,"2021-10-19_10h44.49.407","02_face_task_central","2020.2.4","MacIntel",60,1440,900,"","",NA,NA,NA,NA,NA,0,0,0,18,1
