sub,group,hemi,roi,cond,roi_size,mean_act,volume,sum_selec
sub-hemispace2003,control,left,ventral_visual_cortex,non_tool,335253,5.838479518890381,38658.0,225703.9375
sub-hemispace2003,control,left,ventral_visual_cortex,object,335253,3.765920400619507,10020.0,37734.5234375
sub-hemispace2003,control,left,ventral_visual_cortex,face,335253,3.3544671535491943,2410.0,8084.26611328125
sub-hemispace2003,control,left,ventral_visual_cortex,word,335253,3.521467924118042,4476.0,15762.0908203125
sub-hemispace2003,control,left,hemi,space,618200,5.682463645935059,48163.0,273684.5
sub-hemispace2003,control,left,hemi,feat,618200,5.648013114929199,38956.0,220024.0
sub-hemispace2003,control,left,hemi,tool,618200,5.061384677886963,61685.0,312211.5
sub-hemispace2003,control,left,hemi,non_tool,618200,5.470325469970703,50355.0,275458.25
sub-hemispace2003,control,left,hemi,object,618200,3.72072172164917,10510.0,39104.78515625
sub-hemispace2003,control,left,hemi,face,618200,3.2865633964538574,2712.0,8913.16015625
sub-hemispace2003,control,left,hemi,word,618200,3.4429845809936523,5994.0,20637.25
sub-hemispace2003,control,right,dorsal_visual_cortex,space,51173,5.674063682556152,12439.0,70579.6796875
sub-hemispace2003,control,right,dorsal_visual_cortex,feat,51173,5.382951259613037,7367.0,39656.203125
sub-hemispace2003,control,right,dorsal_visual_cortex,tool,51173,5.062844276428223,9881.0,50025.96484375
sub-hemispace2003,control,right,dorsal_visual_cortex,non_tool,51173,5.428131103515625,8390.0,45542.01953125
sub-hemispace2003,control,right,dorsal_visual_cortex,object,51173,3.4270310401916504,547.0,1874.5859375
sub-hemispace2003,control,right,dorsal_visual_cortex,face,51173,2.617126703262329,66.0,172.73036193847656
sub-hemispace2003,control,right,dorsal_visual_cortex,word,51173,2.7023260593414307,178.0,481.0140380859375
sub-hemispace2003,control,right,ventral_visual_cortex,space,331589,5.2576704025268555,36639.0,192635.78125
sub-hemispace2003,control,right,ventral_visual_cortex,feat,331589,5.064955711364746,25446.0,128882.8671875
sub-hemispace2003,control,right,ventral_visual_cortex,tool,331589,4.937076568603516,34990.0,172748.3125
sub-hemispace2003,control,right,ventral_visual_cortex,non_tool,331589,5.432797431945801,31221.0,169617.375
sub-hemispace2003,control,right,ventral_visual_cortex,object,331589,3.4235587120056152,5327.0,18237.296875
sub-hemispace2003,control,right,ventral_visual_cortex,face,331589,3.803952693939209,3583.0,13629.5625
sub-hemispace2003,control,right,ventral_visual_cortex,word,331589,2.85921573638916,816.0,2333.1201171875
sub-hemispace2003,control,right,hemi,space,606904,4.97348690032959,53234.0,264758.59375
sub-hemispace2003,control,right,hemi,feat,606904,4.7883782386779785,35108.0,168110.390625
sub-hemispace2003,control,right,hemi,tool,606904,4.540205955505371,48658.0,220917.34375
sub-hemispace2003,control,right,hemi,non_tool,606904,5.133007526397705,40104.0,205854.125
sub-hemispace2003,control,right,hemi,object,606904,3.400940179824829,5725.0,19470.3828125
sub-hemispace2003,control,right,hemi,face,606904,3.6987152099609375,3944.0,14587.732421875
sub-hemispace2003,control,right,hemi,word,606904,2.7827200889587402,1245.0,3464.486572265625
sub-103,control,left,dorsal_visual_cortex,space,53259,6.591895580291748,18008.0,118706.8515625
sub-103,control,left,dorsal_visual_cortex,feat,53259,6.3749189376831055,15577.0,99302.109375
sub-103,control,left,dorsal_visual_cortex,tool,53259,5.213286876678467,15416.0,80368.03125
sub-103,control,left,dorsal_visual_cortex,non_tool,53259,5.3727030754089355,14483.0,77812.859375
sub-103,control,left,dorsal_visual_cortex,object,53259,3.7326931953430176,7278.0,27166.541015625
sub-103,control,left,dorsal_visual_cortex,face,53259,2.627674102783203,113.0,296.92718505859375
sub-103,control,left,dorsal_visual_cortex,word,53259,2.938328742980957,1345.0,3952.052001953125
sub-103,control,left,ventral_visual_cortex,space,345659,5.7460432052612305,44033.0,253015.515625
sub-103,control,left,ventral_visual_cortex,feat,345659,5.7220258712768555,39238.0,224520.84375
sub-103,control,left,ventral_visual_cortex,tool,345659,4.758913516998291,40206.0,191336.875
sub-103,control,left,ventral_visual_cortex,non_tool,345659,5.1828508377075195,44091.0,228517.078125
sub-103,control,left,ventral_visual_cortex,object,345659,3.766261339187622,20258.0,76296.921875
sub-103,control,left,ventral_visual_cortex,face,345659,3.2991864681243896,1968.0,6492.798828125
sub-103,control,left,ventral_visual_cortex,word,345659,3.4395649433135986,4926.0,16943.296875
sub-103,control,left,hemi,space,639514,5.4422383308410645,65931.0,358812.21875
sub-103,control,left,hemi,feat,639514,5.404494762420654,57597.0,311282.6875
sub-103,control,left,hemi,tool,639514,4.497907638549805,58917.0,265003.21875
sub-103,control,left,hemi,non_tool,639514,4.809998035430908,65297.0,314078.4375
sub-103,control,left,hemi,object,639514,3.6702322959899902,26116.0,95851.7890625
sub-103,control,left,hemi,face,639514,3.218109607696533,2612.0,8405.7021484375
sub-103,control,left,hemi,word,639514,3.343312978744507,6595.0,22049.1484375
sub-103,control,right,dorsal_visual_cortex,space,52535,6.723717212677002,18114.0,121793.4140625
sub-103,control,right,dorsal_visual_cortex,feat,52535,6.452611923217773,13337.0,86058.484375
sub-103,control,right,dorsal_visual_cortex,tool,52535,5.464069366455078,11516.0,62924.22265625
sub-103,control,right,dorsal_visual_cortex,non_tool,52535,6.121769905090332,12093.0,74030.5625
sub-103,control,right,dorsal_visual_cortex,object,52535,4.362228870391846,5754.0,25100.265625
sub-103,control,right,dorsal_visual_cortex,face,52535,3.4954800605773926,212.0,741.041748046875
sub-103,control,right,dorsal_visual_cortex,word,52535,2.9611291885375977,215.0,636.6427612304688
sub-103,control,right,ventral_visual_cortex,space,344422,5.835906982421875,43213.0,252187.046875
sub-103,control,right,ventral_visual_cortex,feat,344422,5.6155290603637695,35734.0,200665.3125
sub-103,control,right,ventral_visual_cortex,tool,344422,4.890148162841797,31845.0,155726.765625
sub-103,control,right,ventral_visual_cortex,non_tool,344422,5.5365519523620605,35913.0,198834.1875
sub-103,control,right,ventral_visual_cortex,object,344422,4.23130464553833,17653.0,74695.21875
sub-103,control,right,ventral_visual_cortex,face,344422,3.7939274311065674,4190.0,15896.5556640625
sub-103,control,right,ventral_visual_cortex,word,344422,3.1574134826660156,1507.0,4758.22216796875
sub-103,control,right,hemi,space,629784,5.514299392700195,63566.0,350521.96875
sub-103,control,right,hemi,feat,629784,5.305293083190918,51499.0,273217.28125
sub-103,control,right,hemi,tool,629784,4.580987453460693,44042.0,201755.84375
sub-103,control,right,hemi,non_tool,629784,5.235935211181641,49189.0,257550.421875
sub-103,control,right,hemi,object,629784,4.093146324157715,21144.0,86545.484375
